Algorithm,Accuracy: Test,Precision: Test,Recall: Test,F1 Score: Test,Prediction Time,Accuracy: Train,Precision: Train,Recall: Train,F1 Score: Train,Training Time
MultinomialNB,0.781334780249593,0.815093585559182,0.9070491438736936,0.8586163345495369,0.0,0.8458797569092751,0.8759120651508733,0.9197044213231842,0.8972742287429626,0.015627622604370117
DecisionTreeClassifier,0.7613673358654368,0.835015842605556,0.8399673856645171,0.8374842953218535,0.07812643051147461,0.9814064534799595,0.9982815698364964,0.9762746212589279,0.9871554589299548,42.06128001213074
LinearSVC,0.7750949538795442,0.8460968745371056,0.8467867467200356,0.8464416700626088,0.002958059310913086,0.9530639560121545,0.9643417696684324,0.9718013988087882,0.9680572138997281,3.756343126296997
AdaBoostClassifier,0.7633749321758003,0.7759308510638298,0.9515232377140316,0.8548027301481604,0.4987223148345947,0.764596295760382,0.7768051633723275,0.9518325383683859,0.8554579478693513,5.185270071029663
RandomForestClassifier,0.7816603364080303,0.8289665716867051,0.8841449855459195,0.8556671449067431,10.168946743011475,0.9813883663724497,0.98487605744639,0.9897684304179126,0.987316183268209,1350.6993069648743
BaggingClassifier,0.7706456863809007,0.8396392432908051,0.8487880809428507,0.8441888753732169,1.4046247005462646,0.9699211402112574,0.9812701562887621,0.977559745940736,0.9794114369900834,391.7451560497284
LogisticRegression,0.7988062940857298,0.8504692985598624,0.8798458231413535,0.8649081900320607,0.017586708068847656,0.9146288525538996,0.9287479308111221,0.9567506116699207,0.9425413288535046,1.5414974689483643
SGDClassifier,0.8028214867064568,0.8387052436258676,0.904603068712475,0.8704086727052278,0.015609502792358398,0.8883844595572276,0.8983736059479553,0.9555890566690557,0.9260984635282563,0.2898571491241455
KNeighborsClassifier,0.687683125339121,0.8317179861051548,0.718775479949596,0.7711332007952286,150.32360649108887,0.786336998987122,0.8903482478609188,0.8075031510268641,0.8469045243063207,0.017221450805664062
